,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_neighbors__algorithm,param_neighbors__n_neighbors,param_neighbors__weights,param_preprocessing__getlemmas,param_preprocessing__getstemmer,param_preprocessing__removestopwords,param_tfidf__analyzer,param_tfidf__ngram_range,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1178,0.619002103805542,0.012025578984210234,0.3896629810333252,0.034297311425146186,kd_tree,5,uniform,True,True,False,char,"(1, 3)","{'neighbors__algorithm': 'kd_tree', 'neighbors__n_neighbors': 5, 'neighbors__weights': 'uniform', 'preprocessing__getlemmas': True, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': False, 'tfidf__analyzer': 'char', 'tfidf__ngram_range': (1, 3)}",0.5296052631578947,0.5643564356435643,0.5445544554455446,0.5461720514156679,0.014233141134317692,1693
1179,0.7114090919494629,0.05621360057373141,0.3870217005411784,0.008586564995156724,kd_tree,5,uniform,True,True,False,char,"(1, 4)","{'neighbors__algorithm': 'kd_tree', 'neighbors__n_neighbors': 5, 'neighbors__weights': 'uniform', 'preprocessing__getlemmas': True, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': False, 'tfidf__analyzer': 'char', 'tfidf__ngram_range': (1, 4)}",0.5526315789473685,0.5577557755775577,0.5808580858085809,0.563748480111169,0.012277847344354031,670
1180,0.7935205300649008,0.017236907709979384,0.4299960931142171,0.01849633682130718,kd_tree,5,uniform,True,True,False,char,"(1, 5)","{'neighbors__algorithm': 'kd_tree', 'neighbors__n_neighbors': 5, 'neighbors__weights': 'uniform', 'preprocessing__getlemmas': True, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': False, 'tfidf__analyzer': 'char', 'tfidf__ngram_range': (1, 5)}",0.5230263157894737,0.528052805280528,0.6105610561056105,0.5538800590585374,0.04013201522341528,1291
1181,0.5780880451202393,0.023429361884524796,0.3376754919687907,0.016032457135210797,kd_tree,5,uniform,True,True,False,char,"(2, 3)","{'neighbors__algorithm': 'kd_tree', 'neighbors__n_neighbors': 5, 'neighbors__weights': 'uniform', 'preprocessing__getlemmas': True, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': False, 'tfidf__analyzer': 'char', 'tfidf__ngram_range': (2, 3)}",0.569078947368421,0.5445544554455446,0.5610561056105611,0.5582298361415089,0.01020958782558761,1105
1182,0.6246631145477295,0.049041270859670555,0.3599965572357178,0.04290661211229831,kd_tree,5,uniform,True,True,False,char_wb,"(1, 1)","{'neighbors__algorithm': 'kd_tree', 'neighbors__n_neighbors': 5, 'neighbors__weights': 'uniform', 'preprocessing__getlemmas': True, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': False, 'tfidf__analyzer': 'char_wb', 'tfidf__ngram_range': (1, 1)}",0.5526315789473685,0.49834983498349833,0.5511551155115512,0.5340455098141393,0.025247849905559207,2233
1183,0.5813191731770834,0.036162934854800315,0.3316961129506429,0.021759088088244814,kd_tree,5,uniform,True,True,False,char_wb,"(1, 2)","{'neighbors__algorithm': 'kd_tree', 'neighbors__n_neighbors': 5, 'neighbors__weights': 'uniform', 'preprocessing__getlemmas': True, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': False, 'tfidf__analyzer': 'char_wb', 'tfidf__ngram_range': (1, 2)}",0.5361842105263158,0.49174917491749176,0.5346534653465347,0.5208622835967808,0.020595559682132537,2524
1184,0.5903226534525553,0.012516767915388577,0.38234686851501465,0.017804255687528112,kd_tree,5,uniform,True,True,False,char_wb,"(1, 3)","{'neighbors__algorithm': 'kd_tree', 'neighbors__n_neighbors': 5, 'neighbors__weights': 'uniform', 'preprocessing__getlemmas': True, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': False, 'tfidf__analyzer': 'char_wb', 'tfidf__ngram_range': (1, 3)}",0.5263157894736842,0.5247524752475248,0.5379537953795379,0.5296740200335822,0.005889368821701752,2362
1185,0.8083111445109049,0.04214552993783864,0.4790315628051758,0.05885864402836983,kd_tree,5,uniform,True,True,False,char_wb,"(1, 4)","{'neighbors__algorithm': 'kd_tree', 'neighbors__n_neighbors': 5, 'neighbors__weights': 'uniform', 'preprocessing__getlemmas': True, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': False, 'tfidf__analyzer': 'char_wb', 'tfidf__ngram_range': (1, 4)}",0.5098684210526315,0.5379537953795379,0.5577557755775577,0.5351926640032424,0.01964718072577446,2179
1186,0.7366022268931071,0.026459406072105816,0.41066209475199383,0.0323139880986743,kd_tree,5,uniform,True,True,False,char_wb,"(1, 5)","{'neighbors__algorithm': 'kd_tree', 'neighbors__n_neighbors': 5, 'neighbors__weights': 'uniform', 'preprocessing__getlemmas': True, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': False, 'tfidf__analyzer': 'char_wb', 'tfidf__ngram_range': (1, 5)}",0.5361842105263158,0.5346534653465347,0.5412541254125413,0.5373639337617973,0.002820873211258593,2128
1187,0.6089582443237305,0.03511726516020065,0.4040229320526123,0.06998751258947511,kd_tree,5,uniform,True,True,False,char_wb,"(2, 3)","{'neighbors__algorithm': 'kd_tree', 'neighbors__n_neighbors': 5, 'neighbors__weights': 'uniform', 'preprocessing__getlemmas': True, 'preprocessing__getstemmer': True, 'preprocessing__removestopwords': False, 'tfidf__analyzer': 'char_wb', 'tfidf__ngram_range': (2, 3)}",0.5756578947368421,0.5577557755775577,0.5412541254125413,0.558222598575647,0.014049158425888851,1111
1188,0.26099077860514325,0.04701786277194191,0.13600643475850424,0.009094358459265485,kd_tree,5,uniform,True,False,True,word,"(1, 1)","{'neighbors__algorithm': 'kd_tree', 'neighbors__n_neighbors': 5, 'neighbors__weights': 'uniform', 'preprocessing__getlemmas': True, 'preprocessing__getstemmer': False, 'preprocessing__removestopwords': True, 'tfidf__analyzer': 'word', 'tfidf__ngram_range': (1, 1)}",0.5230263157894737,0.5478547854785478,0.5973597359735974,0.5560802790805396,0.03089885000896396,1159
1189,0.3043206532796224,0.07022361056463812,0.13434998194376627,0.003302077571826673,kd_tree,5,uniform,True,False,True,word,"(1, 2)","{'neighbors__algorithm': 'kd_tree', 'neighbors__n_neighbors': 5, 'neighbors__weights': 'uniform', 'preprocessing__getlemmas': True, 'preprocessing__getstemmer': False, 'preprocessing__removestopwords': True, 'tfidf__analyzer': 'word', 'tfidf__ngram_range': (1, 2)}",0.5296052631578947,0.5478547854785478,0.5808580858085809,0.5527727114816745,0.021210884855734566,1360
1190,0.24698305130004883,0.0037312678305222355,0.13301976521809897,0.004311790769659306,kd_tree,5,uniform,True,False,True,word,"(1, 3)","{'neighbors__algorithm': 'kd_tree', 'neighbors__n_neighbors': 5, 'neighbors__weights': 'uniform', 'preprocessing__getlemmas': True, 'preprocessing__getstemmer': False, 'preprocessing__removestopwords': True, 'tfidf__analyzer': 'word', 'tfidf__ngram_range': (1, 3)}",0.5427631578947368,0.5544554455445545,0.5808580858085809,0.5593588964159574,0.01593400464470959,964
1191,0.28488802909851074,0.009338110153934698,0.14270456631978354,0.008167803859896685,kd_tree,5,uniform,True,False,True,word,"(1, 4)","{'neighbors__algorithm': 'kd_tree', 'neighbors__n_neighbors': 5, 'neighbors__weights': 'uniform', 'preprocessing__getlemmas': True, 'preprocessing__getstemmer': False, 'preprocessing__removestopwords': True, 'tfidf__analyzer': 'word', 'tfidf__ngram_range': (1, 4)}",0.5427631578947368,0.5412541254125413,0.5808580858085809,0.5549584563719531,0.018324162527003557,1249
1192,0.2969716389973958,0.02114145506057449,0.16036240259806314,0.009541987309113657,kd_tree,5,uniform,True,False,True,word,"(1, 5)","{'neighbors__algorithm': 'kd_tree', 'neighbors__n_neighbors': 5, 'neighbors__weights': 'uniform', 'preprocessing__getlemmas': True, 'preprocessing__getstemmer': False, 'preprocessing__removestopwords': True, 'tfidf__analyzer': 'word', 'tfidf__ngram_range': (1, 5)}",0.5427631578947368,0.5511551155115512,0.5841584158415841,0.5593588964159574,0.017867444528473768,964
1193,0.27368323008219403,0.0016860647855492946,0.1483470598856608,0.006128901617117052,kd_tree,5,uniform,True,False,True,word,"(2, 3)","{'neighbors__algorithm': 'kd_tree', 'neighbors__n_neighbors': 5, 'neighbors__weights': 'uniform', 'preprocessing__getlemmas': True, 'preprocessing__getstemmer': False, 'preprocessing__removestopwords': True, 'tfidf__analyzer': 'word', 'tfidf__ngram_range': (2, 3)}",0.5328947368421053,0.528052805280528,0.5346534653465347,0.5318670024897226,0.0027909803237147527,2287
1194,0.23999842007954916,0.011427871257764946,0.1630102793375651,0.01604573393131072,kd_tree,5,uniform,True,False,True,char,"(1, 1)","{'neighbors__algorithm': 'kd_tree', 'neighbors__n_neighbors': 5, 'neighbors__weights': 'uniform', 'preprocessing__getlemmas': True, 'preprocessing__getstemmer': False, 'preprocessing__removestopwords': True, 'tfidf__analyzer': 'char', 'tfidf__ngram_range': (1, 1)}",0.5131578947368421,0.5610561056105611,0.5313531353135313,0.5351890452203115,0.019741585630938432,2182
